cell,rawvalue,finPhase
8779,10,367
8780,9.9,367
8781,10,367
8782,9.65,367
8783,9.4,367
8784,9.35,367
8785,8.95,367
8787,9.35,367
8788,9.35,367
8863,10.1,367
8864,10.1,367
8865,10.05,367
8866,10.1,367
8867,10.25,367
8868,10.2,367
8869,10.15,367
8870,10.05,367
8871,9.7,367
8872,9.3,367
8873,9.35,367
8874,9.45,367
8875,9.45,367
8952,10.1,367
8953,10.1,367
8954,10.1,367
8955,10.1,367
8956,10.45,367
8957,10.4,367
8958,10.4,367
8959,10.8,367
8960,10,367
8961,9.7,367
8962,9.45,367
8963,9.35,367
8964,9.45,367
9036,10.1,367
9037,10.1,367
9038,10.1,367
9039,10.1,367
9040,10.1,367
9041,10.1,367
9042,10.5,367
9043,10.45,367
9044,10.45,367
9045,11,367
9046,10.65,367
9047,10.25,367
9048,9.45,367
9049,9.3,367
9050,9.3,367
9051,10.3,367
9121,10.1,367
9122,10.1,367
9123,10.5,367
9124,10.5,367
9125,10.85,367
9126,10.8,367
9127,10.55,367
9128,10.35,367
9129,9.85,367
9130,10.15,367
9131,10.05,367
9202,10.5,367
9203,10.95,367
9204,10.95,367
9207,10.55,367
9208,10.25,367
9209,10.05,367
9276,11.6,367
9277,11.55,367
9278,10.1,367
789,11.6,367
790,11.45,367
796,10.9,367
797,11.15,367
869,11.55,367
870,11.55,367
871,11.4,367
872,11.3,367
873,11.4,367
874,11.45,367
875,11.55,367
879,11.5,367
880,11.35,367
881,10.65,367
955,11.95,367
956,11.6,367
957,11.6,367
958,11.7,367
959,11.45,367
960,11.5,367
961,11.6,367
962,11.55,367
963,11.7,367
964,11.35,367
965,10.9,367
966,11.15,367
967,10.9,367
1043,11.35,367
1044,11.25,367
1045,11.45,367
1046,11.45,367
1047,11.45,367
1048,11.7,367
1049,11.8,367
1050,11.8,367
1051,11.7,367
1052,10.9,367
1053,11.05,367
1054,10.8,367
1133,10.95,367
1134,11.2,367
1135,11.25,367
1136,11.3,367
1137,11.35,367
1138,11.45,367
1139,11.6,367
1140,11.75,367
1141,11.2,367
1142,10.9,367
1143,10.9,367
1222,10.85,367
1223,10.45,367
1224,10.5,367
1225,10.75,367
1226,11.3,367
1227,10.85,367
1228,11.1,367
1229,11.45,367
1230,11.55,367
1231,11,367
1232,10.7,367
1233,10.55,367
1321,11.35,367
1322,11.25,367
1323,10.7,367
1324,10.6,367
1325,10.8,367
1326,10.95,367
1327,10.7,367
1328,10.7,367
1329,11.35,367
1330,11.35,367
1331,10.75,367
1332,10.55,367
1423,10.45,367
1424,10.95,367
1425,11,367
1426,10.65,367
1427,10.85,367
1428,11.1,367
1430,10.85,367
1431,10.55,367
1432,11,367
1534,10.3,367
6716,7.699999999999999,367
6797,8.65,367
6798,8.75,367
6799,8.05,367
6800,7.35,367
6801,6.7,367
6880,8.8,367
6881,7.75,367
6882,7.449999999999999,367
6883,6.95,367
6884,6.55,367
6885,5.55,367
6886,5.449999999999999,367
6887,7.4,367
6961,8.45,367
6962,7.9,367
6963,7.449999999999999,367
6964,6,367
6965,6.2,367
6966,5.949999999999999,367
6967,6.05,367
6968,6.05,367
6969,7.25,367
6970,7.1000000000000005,367
7042,8.149999999999999,367
7043,7.800000000000001,367
7044,6.449999999999999,367
7045,5.1,367
7046,5.25,367
7047,5.35,367
7048,6.05,367
7049,6.1,367
7050,5.949999999999999,367
7051,6.6,367
7119,8.75,367
7120,8.55,367
7121,7.95,367
7122,6.6,367
7123,5.3,367
7124,4.4,367
7125,4.75,367
7126,5.449999999999999,367
7127,6.050000000000001,367
7128,6.15,367
7129,6.15,367
7130,6.65,367
7198,8.45,367
7199,8.55,367
7200,7.95,367
7201,6.8999999999999995,367
7202,6.15,367
7203,5.25,367
7204,4.7,367
7205,5.25,367
7206,5.85,367
7207,6.45,367
7208,6.9,367
7209,5.4,367
7279,8.55,367
7280,8.4,367
7281,8.15,367
7282,7.65,367
7283,7.2,367
7284,6.25,367
7285,6.1,367
7286,5.8,367
7287,6.15,367
7288,7.1,367
7289,6.9,367
7362,8.35,367
7363,8.3,367
7364,8.05,367
7365,7.7,367
7366,8.1,367
7369,7.05,367
7370,7,367
7371,6.550000000000001,367
7445,8.75,367
7446,8.65,367
7447,8,367
7448,8,367
7453,5.95,367
7529,9.4,367
7530,9.05,367
7531,8.55,367
7532,8.25,367
7537,5.699999999999999,367
7611,9.85,367
7613,9.15,367
5949,11.5,367
5950,11.55,367
5953,11.25,367
5954,11.55,367
5955,11.55,367
6038,11.75,367
6039,11.6,367
6040,11.65,367
6041,11.4,367
6042,11.3,367
6043,11.6,367
6044,11.55,367
6045,11.45,367
6046,11.2,367
6123,11.75,367
6124,11.8,367
6125,11.8,367
6126,11.75,367
6127,11.6,367
6128,11.4,367
6129,11.55,367
6130,11.55,367
6131,11.45,367
6132,10.85,367
6206,11.7,367
6207,11.9,367
6208,11.8,367
6209,11.75,367
6210,11.7,367
6211,11.85,367
6212,11.65,367
6213,11.45,367
6214,11.55,367
6282,12.7,367
6283,12.45,367
6284,12.2,367
6285,11.7,367
6286,11.95,367
6287,11.85,367
6288,11.65,367
6289,11.75,367
6290,11.9,367
6291,11.3,367
6292,11.2,367
6362,12.4,367
6363,12.4,367
6364,12.4,367
6365,12.15,367
6366,11.95,367
6367,11.95,367
6368,11.65,367
6369,11.65,367
6370,11.4,367
6371,11.25,367
6372,10.95,367
6442,12.4,367
6443,12.3,367
6444,12.2,367
6445,12.3,367
6446,12.2,367
6447,11.95,367
6448,11.65,367
6449,11.55,367
6450,11.5,367
6451,11.6,367
6523,12.2,367
6524,12.05,367
6525,12.05,367
6526,12.05,367
6527,11.65,367
6528,11.4,367
6529,11.25,367
6530,11.4,367
6606,11.95,367
6607,12.05,367
6608,11.65,367
6609,11.45,367
6610,11.45,367
6611,11.45,367
6689,11.65,367
6690,11.7,367
6691,11.55,367
6692,11.55,367
6693,11.6,367
6771,11.8,367
6772,11.65,367
6773,11.55,367
6774,11.65,367
6775,11.7,367
6776,11.7,367
6856,11.7,367
6857,11.85,367
6858,11.8,367
5573,13,367
5574,13,367
5665,13.2,367
5666,12.95,367
5667,12.95,367
5668,12.9,367
5755,13.2,367
5757,13.15,367
5758,12.85,367
5759,12.9,367
5760,12.85,367
5761,12.8,367
5847,13.05,367
5848,12.85,367
5849,12.8,367
5850,12.65,367
5851,12.65,367
5938,13.2,367
5939,12.95,367
5940,12.9,367
5941,12.8,367
5942,12.7,367
5943,12.6,367
5944,12.65,367
5945,12.3,367
6025,13.1,367
6026,13.15,367
6028,13.2,367
